call_id,agent,date,time,topic,answered,resolved,answerSpeed,avgTalkDuration,rating,dayOfWeek,dayOfMonth,hour,month,talkDuration(min)
ID0001,Diane,2021-01-01,09:12:58,Contract related,,,109.0,0 days 00:02:23,3,Friday,1,9,January,2.0
ID0002,Becky,2021-01-01,09:12:58,Technical Support,,,70.0,0 days 00:04:02,3,Friday,1,9,January,4.0
ID0003,Stewart,2021-01-01,09:47:31,Contract related,,,10.0,0 days 00:02:11,3,Friday,1,9,January,2.0
ID0004,Greg,2021-01-01,09:47:31,Contract related,,,53.0,0 days 00:00:37,2,Friday,1,9,January,1.0
ID0005,Becky,2021-01-01,10:00:29,Payment related,,,95.0,0 days 00:01:00,3,Friday,1,10,January,1.0
ID0006,Stewart,2021-01-01,10:00:29,Technical Support,,,,,,Friday,1,10,January,
ID0007,Diane,2021-01-01,10:22:05,Payment related,,,24.0,0 days 00:03:40,2,Friday,1,10,January,4.0
ID0008,Diane,2021-01-01,10:22:05,Payment related,,,22.0,0 days 00:00:38,4,Friday,1,10,January,1.0
ID0009,Greg,2021-01-01,11:13:55,Admin Support,,,15.0,0 days 00:06:38,4,Friday,1,11,January,7.0
ID0010,Jim,2021-01-01,11:13:55,Streaming,,,78.0,0 days 00:01:04,3,Friday,1,11,January,1.0
ID0011,Joe,2021-01-01,11:15:22,Payment related,,,,,,Friday,1,11,January,
ID0012,Greg,2021-01-01,11:15:22,Payment related,,,50.0,0 days 00:00:32,4,Friday,1,11,January,1.0
ID0013,Joe,2021-01-01,11:52:48,Payment related,,,84.0,0 days 00:03:34,3,Friday,1,11,January,4.0
ID0014,Martha,2021-01-01,11:52:48,Contract related,,,89.0,0 days 00:05:44,3,Friday,1,11,January,6.0
ID0015,Becky,2021-01-01,11:55:41,Admin Support,,,48.0,0 days 00:03:47,4,Friday,1,11,January,4.0
ID0016,Becky,2021-01-01,11:55:41,Admin Support,,,63.0,0 days 00:05:26,2,Friday,1,11,January,5.0
ID0017,Greg,2021-01-01,11:57:07,Technical Support,,,45.0,0 days 00:05:32,5,Friday,1,11,January,6.0
ID0018,Becky,2021-01-01,11:57:07,Admin Support,,,,,,Friday,1,11,January,
ID0019,Jim,2021-01-01,12:01:26,Streaming,,,,,,Friday,1,12,January,
ID0020,Jim,2021-01-01,12:01:26,Contract related,,,101.0,0 days 00:02:27,3,Friday,1,12,January,2.0
ID0021,Jim,2021-01-01,12:02:53,Technical Support,,,74.0,0 days 00:05:22,5,Friday,1,12,January,5.0
ID0022,Dan,2021-01-01,12:02:53,Admin Support,,,89.0,0 days 00:05:50,5,Friday,1,12,January,6.0
